product_id,product_name,category,brand,price,cost,launch_date,current_inventory,reorder_level
PROD-0059,"ActiveLife Sports Model 1059",Sports,ActiveLife,89,57.85,2024-12-04,159,79
PROD-0060,"ReadMore Books Model 1060",Books,ReadMore,22,14.3,2020-01-05,160,80
PROD-0061,"GlowUp Beauty Model 1061",Beauty,GlowUp,86,55.9,2021-02-06,161,81
PROD-0062,"AutoPro Automotive Model 1062",Automotive,AutoPro,92,59.8,2022-03-07,162,82
PROD-0063,"PlayFun Toys Model 1063",Toys,PlayFun,93,60.45,2023-04-08,163,83
PROD-0064,"TechnoCore Electronics Model 1064",Electronics,TechnoCore,214,139.1,2024-05-09,164,84
PROD-0065,"StyleMax Clothing Model 1065",Clothing,StyleMax,95,61.75,2020-06-10,165,85
PROD-0066,"HomeComfort Home & Garden Model 1066",Home & Garden,HomeComfort,96,62.4,2021-07-11,166,86
PROD-0067,"ActiveLife Sports Model 1067",Sports,ActiveLife,97,63.05,2022-08-12,167,87
PROD-0068,"ReadMore Books Model 1068",Books,ReadMore,30,19.5,2023-09-13,168,88
PROD-0069,"GlowUp Beauty Model 1069",Beauty,GlowUp,94,61.1,2024-10-14,169,89
PROD-0070,"AutoPro Automotive Model 1070",Automotive,AutoPro,100,65,2020-11-15,170,90
PROD-0071,"PlayFun Toys Model 1071",Toys,PlayFun,101,65.65,2021-12-16,171,91
PROD-0072,"TechnoCore Electronics Model 1072",Electronics,TechnoCore,222,144.3,2022-01-17,172,92
PROD-0073,"StyleMax Clothing Model 1073",Clothing,StyleMax,103,66.95,2023-02-18,173,93
PROD-0074,"HomeComfort Home & Garden Model 1074",Home & Garden,HomeComfort,104,67.6,2024-03-19,174,94
PROD-0075,"ActiveLife Sports Model 1075",Sports,ActiveLife,105,68.25,2020-04-20,175,95
PROD-0076,"ReadMore Books Model 1076",Books,ReadMore,13,8.45,2021-05-21,176,96
PROD-0077,"GlowUp Beauty Model 1077",Beauty,GlowUp,27,17.55,2022-06-22,177,97
PROD-0078,"AutoPro Automotive Model 1078",Automotive,AutoPro,108,70.2,2023-07-23,178,98
PROD-0079,"PlayFun Toys Model 1079",Toys,PlayFun,109,70.85,2024-08-24,179,99
PROD-0080,"TechnoCore Electronics Model 1080",Electronics,TechnoCore,230,149.5,2020-09-25,180,20
PROD-0081,"StyleMax Clothing Model 1081",Clothing,StyleMax,111,72.15,2021-10-26,181,21
PROD-0082,"HomeComfort Home & Garden Model 1082",Home & Garden,HomeComfort,112,72.8,2022-11-27,182,22
PROD-0083,"ActiveLife Sports Model 1083",Sports,ActiveLife,113,73.45,2023-12-28,183,23
PROD-0084,"ReadMore Books Model 1084",Books,ReadMore,21,13.65,2024-01-01,184,24
PROD-0085,"GlowUp Beauty Model 1085",Beauty,GlowUp,35,22.75,2020-02-02,185,25
PROD-0086,"AutoPro Automotive Model 1086",Automotive,AutoPro,116,75.4,2021-03-03,186,26
PROD-0087,"PlayFun Toys Model 1087",Toys,PlayFun,117,76.05,2022-04-04,187,27
PROD-0088,"TechnoCore Electronics Model 1088",Electronics,TechnoCore,238,154.7,2023-05-05,188,28
PROD-0089,"StyleMax Clothing Model 1089",Clothing,StyleMax,119,77.35,2024-06-06,189,29
PROD-0090,"HomeComfort Home & Garden Model 1090",Home & Garden,HomeComfort,120,78,2020-07-07,190,30
PROD-0091,"ActiveLife Sports Model 1091",Sports,ActiveLife,121,78.65,2021-08-08,191,31
PROD-0092,"ReadMore Books Model 1092",Books,ReadMore,29,18.85,2022-09-09,192,32
PROD-0093,"GlowUp Beauty Model 1093",Beauty,GlowUp,43,27.95,2023-10-10,193,33
PROD-0094,"AutoPro Automotive Model 1094",Automotive,AutoPro,124,80.6,2024-11-11,194,34
PROD-0095,"PlayFun Toys Model 1095",Toys,PlayFun,125,81.25,2020-12-12,195,35
PROD-0096,"TechnoCore Electronics Model 1096",Electronics,TechnoCore,246,159.9,2021-01-13,196,36
PROD-0097,"StyleMax Clothing Model 1097",Clothing,StyleMax,127,82.55,2022-02-14,197,37
PROD-0098,"HomeComfort Home & Garden Model 1098",Home & Garden,HomeComfort,128,83.2,2023-03-15,198,38
PROD-0099,"ActiveLife Sports Model 1099",Sports,ActiveLife,129,83.85,2024-04-16,199,39
PROD-0100,"ReadMore Books Model 1100",Books,ReadMore,12,7.8,2020-05-17,200,40
PROD-0101,"GlowUp Beauty Model 1101",Beauty,GlowUp,51,33.15,2021-06-18,201,41
PROD-0102,"AutoPro Automotive Model 1102",Automotive,AutoPro,132,85.8,2022-07-19,202,42
PROD-0103,"PlayFun Toys Model 1103",Toys,PlayFun,133,86.45,2023-08-20,203,43
PROD-0104,"TechnoCore Electronics Model 1104",Electronics,TechnoCore,254,165.1,2024-09-21,204,44
PROD-0105,"StyleMax Clothing Model 1105",Clothing,StyleMax,135,87.75,2020-10-22,205,45
PROD-0106,"HomeComfort Home & Garden Model 1106",Home & Garden,HomeComfort,136,88.4,2021-11-23,206,46
PROD-0107,"ActiveLife Sports Model 1107",Sports,ActiveLife,137,89.05,2022-12-24,207,47
PROD-0108,"ReadMore Books Model 1108",Books,ReadMore,20,13,2023-01-25,208,48
PROD-0109,"GlowUp Beauty Model 1109",Beauty,GlowUp,59,38.35,2024-02-26,209,49
PROD-0110,"AutoPro Automotive Model 1110",Automotive,AutoPro,140,91,2020-03-27,210,50
PROD-0111,"PlayFun Toys Model 1111",Toys,PlayFun,141,91.65,2021-04-28,211,51
PROD-0112,"TechnoCore Electronics Model 1112",Electronics,TechnoCore,262,170.3,2022-05-01,212,52
PROD-0113,"StyleMax Clothing Model 1113",Clothing,StyleMax,143,92.95,2023-06-02,213,53
PROD-0114,"HomeComfort Home & Garden Model 1114",Home & Garden,HomeComfort,144,93.6,2024-07-03,214,54
PROD-0115,"ActiveLife Sports Model 1115",Sports,ActiveLife,145,94.25,2020-08-04,215,55
PROD-0116,"ReadMore Books Model 1116",Books,ReadMore,28,18.2,2021-09-05,216,56
PROD-0117,"GlowUp Beauty Model 1117",Beauty,GlowUp,67,43.55,2022-10-06,217,57
PROD-0118,"AutoPro Automotive Model 1118",Automotive,AutoPro,148,96.2,2023-11-07,218,58
PROD-0119,"PlayFun Toys Model 1119",Toys,PlayFun,149,96.85,2024-12-08,219,59
PROD-0120,"TechnoCore Electronics Model 1120",Electronics,TechnoCore,270,175.5,2020-01-09,220,60
PROD-0121,"StyleMax Clothing Model 1121",Clothing,StyleMax,151,98.15,2021-02-10,221,61
PROD-0122,"HomeComfort Home & Garden Model 1122",Home & Garden,HomeComfort,152,98.8,2022-03-11,222,62
PROD-0123,"ActiveLife Sports Model 1123",Sports,ActiveLife,153,99.45,2023-04-12,223,63
PROD-0124,"ReadMore Books Model 1124",Books,ReadMore,36,23.4,2024-05-13,224,64
PROD-0125,"GlowUp Beauty Model 1125",Beauty,GlowUp,75,48.75,2020-06-14,225,65
PROD-0126,"AutoPro Automotive Model 1126",Automotive,AutoPro,156,101.4,2021-07-15,226,66
PROD-0127,"PlayFun Toys Model 1127",Toys,PlayFun,157,102.05,2022-08-16,227,67
PROD-0128,"TechnoCore Electronics Model 1128",Electronics,TechnoCore,278,180.7,2023-09-17,228,68
PROD-0129,"StyleMax Clothing Model 1129",Clothing,StyleMax,159,103.35,2024-10-18,229,69
PROD-0130,"HomeComfort Home & Garden Model 1130",Home & Garden,HomeComfort,160,104,2020-11-19,230,70
PROD-0131,"ActiveLife Sports Model 1131",Sports,ActiveLife,161,104.65,2021-12-20,231,71
PROD-0132,"ReadMore Books Model 1132",Books,ReadMore,19,12.35,2022-01-21,232,72
PROD-0133,"GlowUp Beauty Model 1133",Beauty,GlowUp,83,53.95,2023-02-22,233,73
PROD-0134,"AutoPro Automotive Model 1134",Automotive,AutoPro,164,106.6,2024-03-23,234,74
PROD-0135,"PlayFun Toys Model 1135",Toys,PlayFun,165,107.25,2020-04-24,235,75
PROD-0136,"TechnoCore Electronics Model 1136",Electronics,TechnoCore,286,185.9,2021-05-25,236,76
PROD-0137,"StyleMax Clothing Model 1137",Clothing,StyleMax,167,108.55,2022-06-26,237,77
PROD-0138,"HomeComfort Home & Garden Model 1138",Home & Garden,HomeComfort,168,109.2,2023-07-27,238,78
PROD-0139,"ActiveLife Sports Model 1139",Sports,ActiveLife,169,109.85,2024-08-28,239,79
PROD-0140,"ReadMore Books Model 1140",Books,ReadMore,27,17.55,2020-09-01,240,80
PROD-0141,"GlowUp Beauty Model 1141",Beauty,GlowUp,91,59.15,2021-10-02,241,81
PROD-0142,"AutoPro Automotive Model 1142",Automotive,AutoPro,172,111.8,2022-11-03,242,82
PROD-0143,"PlayFun Toys Model 1143",Toys,PlayFun,173,112.45,2023-12-04,243,83
PROD-0144,"TechnoCore Electronics Model 1144",Electronics,TechnoCore,294,191.1,2024-01-05,244,84
PROD-0145,"StyleMax Clothing Model 1145",Clothing,StyleMax,175,113.75,2020-02-06,245,85
PROD-0146,"HomeComfort Home & Garden Model 1146",Home & Garden,HomeComfort,176,114.4,2021-03-07,246,86
PROD-0147,"ActiveLife Sports Model 1147",Sports,ActiveLife,177,115.05,2022-04-08,247,87
PROD-0148,"ReadMore Books Model 1148",Books,ReadMore,35,22.75,2023-05-09,248,88
PROD-0149,"GlowUp Beauty Model 1149",Beauty,GlowUp,99,64.35,2024-06-10,249,89
PROD-0150,"AutoPro Automotive Model 1150",Automotive,AutoPro,30,19.5,2020-07-11,250,90
PROD-0151,"PlayFun Toys Model 1151",Toys,PlayFun,31,20.15,2021-08-12,251,91
PROD-0152,"TechnoCore Electronics Model 1152",Electronics,TechnoCore,302,196.3,2022-09-13,252,92
PROD-0153,"StyleMax Clothing Model 1153",Clothing,StyleMax,33,21.45,2023-10-14,253,93
PROD-0154,"HomeComfort Home & Garden Model 1154",Home & Garden,HomeComfort,34,22.1,2024-11-15,254,94
PROD-0155,"ActiveLife Sports Model 1155",Sports,ActiveLife,35,22.75,2020-12-16,255,95
PROD-0156,"ReadMore Books Model 1156",Books,ReadMore,18,11.7,2021-01-17,256,96
PROD-0157,"GlowUp Beauty Model 1157",Beauty,GlowUp,32,20.8,2022-02-18,257,97
PROD-0158,"AutoPro Automotive Model 1158",Automotive,AutoPro,38,24.7,2023-03-19,258,98
PROD-0159,"PlayFun Toys Model 1159",Toys,PlayFun,39,25.35,2024-04-20,259,99
PROD-0160,"TechnoCore Electronics Model 1160",Electronics,TechnoCore,310,201.5,2020-05-21,260,20
PROD-0161,"StyleMax Clothing Model 1161",Clothing,StyleMax,41,26.65,2021-06-22,261,21
PROD-0162,"HomeComfort Home & Garden Model 1162",Home & Garden,HomeComfort,42,27.3,2022-07-23,262,22
PROD-0163,"ActiveLife Sports Model 1163",Sports,ActiveLife,43,27.95,2023-08-24,263,23
PROD-0164,"ReadMore Books Model 1164",Books,ReadMore,26,16.9,2024-09-25,264,24
PROD-0165,"GlowUp Beauty Model 1165",Beauty,GlowUp,40,26,2020-10-26,265,25
PROD-0166,"AutoPro Automotive Model 1166",Automotive,AutoPro,46,29.9,2021-11-27,266,26
PROD-0167,"PlayFun Toys Model 1167",Toys,PlayFun,47,30.55,2022-12-28,267,27
PROD-0168,"TechnoCore Electronics Model 1168",Electronics,TechnoCore,318,206.7,2023-01-01,268,28
PROD-0169,"StyleMax Clothing Model 1169",Clothing,StyleMax,49,31.85,2024-02-02,269,29
PROD-0170,"HomeComfort Home & Garden Model 1170",Home & Garden,HomeComfort,50,32.5,2020-03-03,270,30
PROD-0171,"ActiveLife Sports Model 1171",Sports,ActiveLife,51,33.15,2021-04-04,271,31
PROD-0172,"ReadMore Books Model 1172",Books,ReadMore,34,22.1,2022-05-05,272,32
PROD-0173,"GlowUp Beauty Model 1173",Beauty,GlowUp,48,31.2,2023-06-06,273,33
PROD-0174,"AutoPro Automotive Model 1174",Automotive,AutoPro,54,35.1,2024-07-07,274,34
PROD-0175,"PlayFun Toys Model 1175",Toys,PlayFun,55,35.75,2020-08-08,275,35
PROD-0176,"TechnoCore Electronics Model 1176",Electronics,TechnoCore,326,211.9,2021-09-09,276,36
PROD-0177,"StyleMax Clothing Model 1177",Clothing,StyleMax,57,37.05,2022-10-10,277,37
PROD-0178,"HomeComfort Home & Garden Model 1178",Home & Garden,HomeComfort,58,37.7,2023-11-11,278,38
PROD-0179,"ActiveLife Sports Model 1179",Sports,ActiveLife,59,38.35,2024-12-12,279,39
PROD-0180,"ReadMore Books Model 1180",Books,ReadMore,17,11.05,2020-01-13,280,40
PROD-0181,"GlowUp Beauty Model 1181",Beauty,GlowUp,56,36.4,2021-02-14,281,41
PROD-0182,"AutoPro Automotive Model 1182",Automotive,AutoPro,62,40.3,2022-03-15,282,42
PROD-0183,"PlayFun Toys Model 1183",Toys,PlayFun,63,40.95,2023-04-16,283,43
PROD-0184,"TechnoCore Electronics Model 1184",Electronics,TechnoCore,334,217.1,2024-05-17,284,44
PROD-0185,"StyleMax Clothing Model 1185",Clothing,StyleMax,65,42.25,2020-06-18,285,45
PROD-0186,"HomeComfort Home & Garden Model 1186",Home & Garden,HomeComfort,66,42.9,2021-07-19,286,46
PROD-0187,"ActiveLife Sports Model 1187",Sports,ActiveLife,67,43.55,2022-08-20,287,47
PROD-0188,"ReadMore Books Model 1188",Books,ReadMore,25,16.25,2023-09-21,288,48
PROD-0189,"GlowUp Beauty Model 1189",Beauty,GlowUp,64,41.6,2024-10-22,289,49
PROD-0190,"AutoPro Automotive Model 1190",Automotive,AutoPro,70,45.5,2020-11-23,290,50
PROD-0191,"PlayFun Toys Model 1191",Toys,PlayFun,71,46.15,2021-12-24,291,51
PROD-0192,"TechnoCore Electronics Model 1192",Electronics,TechnoCore,342,222.3,2022-01-25,292,52
PROD-0193,"StyleMax Clothing Model 1193",Clothing,StyleMax,73,47.45,2023-02-26,293,53
PROD-0194,"HomeComfort Home & Garden Model 1194",Home & Garden,HomeComfort,74,48.1,2024-03-27,294,54
PROD-0195,"ActiveLife Sports Model 1195",Sports,ActiveLife,75,48.75,2020-04-28,295,55
PROD-0196,"ReadMore Books Model 1196",Books,ReadMore,33,21.45,2021-05-01,296,56
PROD-0197,"GlowUp Beauty Model 1197",Beauty,GlowUp,72,46.8,2022-06-02,297,57
PROD-0198,"AutoPro Automotive Model 1198",Automotive,AutoPro,78,50.7,2023-07-03,298,58
PROD-0199,"PlayFun Toys Model 1199",Toys,PlayFun,79,51.35,2024-08-04,299,59
PROD-0200,"TechnoCore Electronics Model 1200",Electronics,TechnoCore,350,227.5,2020-09-05,300,60
PROD-0201,"StyleMax Clothing Model 1201",Clothing,StyleMax,81,52.65,2021-10-06,301,61
PROD-0202,"HomeComfort Home & Garden Model 1202",Home & Garden,HomeComfort,82,53.3,2022-11-07,302,62
PROD-0203,"ActiveLife Sports Model 1203",Sports,ActiveLife,83,53.95,2023-12-08,303,63
PROD-0204,"ReadMore Books Model 1204",Books,ReadMore,16,10.4,2024-01-09,304,64
PROD-0205,"GlowUp Beauty Model 1205",Beauty,GlowUp,80,52,2020-02-10,305,65
PROD-0206,"AutoPro Automotive Model 1206",Automotive,AutoPro,86,55.9,2021-03-11,306,66
PROD-0207,"PlayFun Toys Model 1207",Toys,PlayFun,87,56.55,2022-04-12,307,67
PROD-0208,"TechnoCore Electronics Model 1208",Electronics,TechnoCore,358,232.7,2023-05-13,308,68
PROD-0209,"StyleMax Clothing Model 1209",Clothing,StyleMax,89,57.85,2024-06-14,309,69
PROD-0210,"HomeComfort Home & Garden Model 1210",Home & Garden,HomeComfort,90,58.5,2020-07-15,310,70
PROD-0211,"ActiveLife Sports Model 1211",Sports,ActiveLife,91,59.15,2021-08-16,311,71
PROD-0212,"ReadMore Books Model 1212",Books,ReadMore,24,15.6,2022-09-17,312,72
PROD-0213,"GlowUp Beauty Model 1213",Beauty,GlowUp,88,57.2,2023-10-18,313,73
PROD-0214,"AutoPro Automotive Model 1214",Automotive,AutoPro,94,61.1,2024-11-19,314,74
PROD-0215,"PlayFun Toys Model 1215",Toys,PlayFun,95,61.75,2020-12-20,315,75
PROD-0216,"TechnoCore Electronics Model 1216",Electronics,TechnoCore,366,237.9,2021-01-21,316,76
PROD-0217,"StyleMax Clothing Model 1217",Clothing,StyleMax,97,63.05,2022-02-22,317,77
PROD-0218,"HomeComfort Home & Garden Model 1218",Home & Garden,HomeComfort,98,63.7,2023-03-23,318,78
PROD-0219,"ActiveLife Sports Model 1219",Sports,ActiveLife,99,64.35,2024-04-24,319,79
PROD-0220,"ReadMore Books Model 1220",Books,ReadMore,32,20.8,2020-05-25,320,80
PROD-0221,"GlowUp Beauty Model 1221",Beauty,GlowUp,96,62.4,2021-06-26,321,81
PROD-0222,"AutoPro Automotive Model 1222",Automotive,AutoPro,102,66.3,2022-07-27,322,82
PROD-0223,"PlayFun Toys Model 1223",Toys,PlayFun,103,66.95,2023-08-28,323,83
PROD-0224,"TechnoCore Electronics Model 1224",Electronics,TechnoCore,374,243.1,2024-09-01,324,84
PROD-0225,"StyleMax Clothing Model 1225",Clothing,StyleMax,105,68.25,2020-10-02,325,85
PROD-0226,"HomeComfort Home & Garden Model 1226",Home & Garden,HomeComfort,106,68.9,2021-11-03,326,86
PROD-0227,"ActiveLife Sports Model 1227",Sports,ActiveLife,107,69.55,2022-12-04,327,87
PROD-0228,"ReadMore Books Model 1228",Books,ReadMore,15,9.75,2023-01-05,328,88
PROD-0229,"GlowUp Beauty Model 1229",Beauty,GlowUp,29,18.85,2024-02-06,329,89
PROD-0230,"AutoPro Automotive Model 1230",Automotive,AutoPro,110,71.5,2020-03-07,330,90
PROD-0231,"PlayFun Toys Model 1231",Toys,PlayFun,111,72.15,2021-04-08,331,91
PROD-0232,"TechnoCore Electronics Model 1232",Electronics,TechnoCore,382,248.3,2022-05-09,332,92
PROD-0233,"StyleMax Clothing Model 1233",Clothing,StyleMax,113,73.45,2023-06-10,333,93
PROD-0234,"HomeComfort Home & Garden Model 1234",Home & Garden,HomeComfort,114,74.1,2024-07-11,334,94
PROD-0235,"ActiveLife Sports Model 1235",Sports,ActiveLife,115,74.75,2020-08-12,335,95
PROD-0236,"ReadMore Books Model 1236",Books,ReadMore,23,14.95,2021-09-13,336,96
PROD-0237,"GlowUp Beauty Model 1237",Beauty,GlowUp,37,24.05,2022-10-14,337,97
PROD-0238,"AutoPro Automotive Model 1238",Automotive,AutoPro,118,76.7,2023-11-15,338,98
PROD-0239,"PlayFun Toys Model 1239",Toys,PlayFun,119,77.35,2024-12-16,339,99
PROD-0240,"TechnoCore Electronics Model 1240",Electronics,TechnoCore,390,253.5,2020-01-17,340,20
PROD-0241,"StyleMax Clothing Model 1241",Clothing,StyleMax,121,78.65,2021-02-18,341,21
PROD-0242,"HomeComfort Home & Garden Model 1242",Home & Garden,HomeComfort,122,79.3,2022-03-19,342,22
PROD-0243,"ActiveLife Sports Model 1243",Sports,ActiveLife,123,79.95,2023-04-20,343,23
PROD-0244,"ReadMore Books Model 1244",Books,ReadMore,31,20.15,2024-05-21,344,24
PROD-0245,"GlowUp Beauty Model 1245",Beauty,GlowUp,45,29.25,2020-06-22,345,25
PROD-0246,"AutoPro Automotive Model 1246",Automotive,AutoPro,126,81.9,2021-07-23,346,26
PROD-0247,"PlayFun Toys Model 1247",Toys,PlayFun,127,82.55,2022-08-24,347,27
PROD-0248,"TechnoCore Electronics Model 1248",Electronics,TechnoCore,398,258.7,2023-09-25,348,28
PROD-0249,"StyleMax Clothing Model 1249",Clothing,StyleMax,129,83.85,2024-10-26,349,29
PROD-0250,"HomeComfort Home & Garden Model 1250",Home & Garden,HomeComfort,130,84.5,2020-11-27,350,30
PROD-0251,"ActiveLife Sports Model 1251",Sports,ActiveLife,131,85.15,2021-12-28,351,31
PROD-0252,"ReadMore Books Model 1252",Books,ReadMore,14,9.1,2022-01-01,352,32
PROD-0253,"GlowUp Beauty Model 1253",Beauty,GlowUp,53,34.45,2023-02-02,353,33
PROD-0254,"AutoPro Automotive Model 1254",Automotive,AutoPro,134,87.1,2024-03-03,354,34
PROD-0255,"PlayFun Toys Model 1255",Toys,PlayFun,135,87.75,2020-04-04,355,35
PROD-0256,"TechnoCore Electronics Model 1256",Electronics,TechnoCore,406,263.9,2021-05-05,356,36
PROD-0257,"StyleMax Clothing Model 1257",Clothing,StyleMax,137,89.05,2022-06-06,357,37
PROD-0258,"HomeComfort Home & Garden Model 1258",Home & Garden,HomeComfort,138,89.7,2023-07-07,358,38
PROD-0259,"ActiveLife Sports Model 1259",Sports,ActiveLife,139,90.35,2024-08-08,359,39
PROD-0260,"ReadMore Books Model 1260",Books,ReadMore,22,14.3,2020-09-09,360,40
PROD-0261,"GlowUp Beauty Model 1261",Beauty,GlowUp,61,39.65,2021-10-10,361,41
PROD-0262,"AutoPro Automotive Model 1262",Automotive,AutoPro,142,92.3,2022-11-11,362,42
PROD-0263,"PlayFun Toys Model 1263",Toys,PlayFun,143,92.95,2023-12-12,363,43
PROD-0264,"TechnoCore Electronics Model 1264",Electronics,TechnoCore,414,269.1,2024-01-13,364,44
PROD-0265,"StyleMax Clothing Model 1265",Clothing,StyleMax,145,94.25,2020-02-14,365,45
PROD-0266,"HomeComfort Home & Garden Model 1266",Home & Garden,HomeComfort,146,94.9,2021-03-15,366,46
PROD-0267,"ActiveLife Sports Model 1267",Sports,ActiveLife,147,95.55,2022-04-16,367,47
PROD-0268,"ReadMore Books Model 1268",Books,ReadMore,30,19.5,2023-05-17,368,48
PROD-0269,"GlowUp Beauty Model 1269",Beauty,GlowUp,69,44.85,2024-06-18,369,49
PROD-0270,"AutoPro Automotive Model 1270",Automotive,AutoPro,150,97.5,2020-07-19,370,50
PROD-0271,"PlayFun Toys Model 1271",Toys,PlayFun,151,98.15,2021-08-20,371,51
PROD-0272,"TechnoCore Electronics Model 1272",Electronics,TechnoCore,422,274.3,2022-09-21,372,52
